Start: Tue  5 Nov 17:21:10 CET 2019

Command                                 Data                                             Size         Min         Max         Avg         Mem        User          Wall 
guppy/squash.sh                         random-placements-200                              58Mb 11817.571s  12095.561s  11921.440s   1210.906Mb 12093.830s    3:21:35 
guppy/squash.sh                         random-placements-500                             143Mb 153890.271s  153890.271s  153890.271s   4782.644Mb 153877.350s   42:44:50 
guppy/squash.sh                         random-placements-1000                            286Mb  1/1  
gappa/edgepca.sh                        random-placements-10                              2.9Mb    10.279s     11.493s     10.665s     29.082Mb    10.280s    0:10.29 
gappa/edgepca.sh                        random-placements-20                              5.8Mb    10.216s     10.412s     10.307s     34.621Mb    10.290s    0:10.30 
gappa/edgepca.sh                        random-placements-50                               15Mb    10.566s     10.947s     10.688s     74.531Mb    10.540s    0:10.57 
gappa/edgepca.sh                        random-placements-100                              29Mb    11.110s     11.534s     11.263s    140.824Mb    11.190s    0:11.28 
gappa/edgepca.sh                        random-placements-200                              58Mb    12.371s     12.505s     12.437s    273.753Mb    12.250s    0:12.37 
gappa/edgepca.sh                        random-placements-500                             143Mb    17.911s     17.987s     17.941s    672.058Mb    17.630s    0:17.92 
gappa/edgepca.sh                        random-placements-1000                            286Mb    36.918s     36.962s     36.936s   1336.160Mb    36.350s    0:36.93 
gappa/edgepca.sh                        random-placements-2000                            572Mb    68.467s     68.467s     68.466s   2664.144Mb    67.410s    1:08.47 
gappa/edgepca.sh                        random-placements-5000                            1.4Gb   168.280s    168.280s    168.280s   6648.320Mb   162.980s    2:48.29 
gappa/edgepca.sh                        random-placements-10000                           2.8Gb   731.007s    731.007s    731.006s  11082.433Mb   343.480s   12:11.02 
guppy/edgepca.sh                        random-placements-10                              2.9Mb     1.227s      1.369s      1.256s     52.414Mb     1.210s    0:01.23 
guppy/edgepca.sh                        random-placements-20                              5.8Mb     2.145s      2.198s      2.170s     72.207Mb     2.140s    0:02.16 
guppy/edgepca.sh                        random-placements-50                               15Mb     5.561s      5.707s      5.607s    127.363Mb     5.510s    0:05.58 
guppy/edgepca.sh                        random-placements-100                              29Mb    11.467s     11.761s     11.669s    224.972Mb    11.610s    0:11.71 
guppy/edgepca.sh                        random-placements-200                              58Mb    26.797s     28.108s     27.086s    402.792Mb    26.670s    0:26.88 
guppy/edgepca.sh                        random-placements-500                             143Mb   107.939s    118.103s    113.122s    957.734Mb   114.520s    1:54.96 
guppy/edgepca.sh                        random-placements-1000                            286Mb   382.419s    408.019s    394.520s   1861.457Mb   392.140s    6:33.13 
guppy/edgepca.sh                        random-placements-2000                            572Mb  1483.844s   1483.844s   1483.844s   3636.414Mb  1479.610s   24:43.85 
guppy/edgepca.sh                        random-placements-5000                            1.4Gb  9360.884s   9360.884s   9360.883s   9282.019Mb  9349.420s    2:36:00 
guppy/edgepca.sh                        random-placements-10000                           2.8Gb  1/1  
